id,start_x,start_y,end_x,end_y,towards_light
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,311,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,567,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,311,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,567,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,311,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,567,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,311,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,567,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,311,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,567,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,311,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,567,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,311,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,567,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,311,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,84,True
4,634,159,621,137,True
5,582,4,564,37,True
6,629,168,537,139,True
7,57,432,119,420,True
8,35,341,25,299,True
9,513,472,513,446,True
11,103,455,67,474,False
12,291,445,289,392,True
13,181,424,166,341,True
16,23,420,18,425,False
17,268,406,239,345,True
19,401,394,456,398,False
20,560,364,578,344,True
22,197,377,210,362,True
23,262,326,317,292,True
24,14,320,39,353,False
25,617,308,631,330,False
26,458,287,440,321,False
27,414,268,397,259,True
29,370,252,342,231,True
30,37,233,72,231,True
1,262,194,352,186,True
2,3,67,3,40,True
3,2,118,11,83,True
4,634,159,621,137,True
5,582,4,564,38,True
6,629,168,546,148,True
7,57,432,129,393,True
8,35,341,25,299,True
9,513,472,501,446,True
11,103,455,70,473,False
12,291,445,287,392,True
13,181,424,166,338,True
16,23,420,16,428,False
17,268,406,224,349,True
19,401,394,454,396,False
20,560,364,577,343,True
22,197,377,210,362,True
23,262,326,327,281,True
24,14,320,40,344,False
25,617,308,632,338,False
26,458,287,437,326,False
27,414,268,397,259,True
29,370,252,342,231,True
30,37,233,82,224,True
1,262,194,430,131,True
2,3,67,3,40,True
3,2,118,11,83,True
4,634,159,621,137,True
5,582,4,614,18,False
6,629,168,534,139,True
7,57,432,113,428,True
8,35,341,25,299,True
9,513,472,515,446,True
11,103,455,70,473,False
12,291,445,289,390,True
13,181,424,165,338,True
